Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
573.46869,EKP,,R,,,R,R,,R,R,R,R,,S,,,,R,R,S,,R,,R,,,,,R,,,,,S,,,
72407.2678,EKP,,,R,,,R,,,R,R,,R,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2342,EKP,S,S,,S,,S,,,S,,,S,S,S,S,,,S,R,,,R,S,S,R,R,,,,,,,,,,
573.66371,EKP,,,,R,,,,,S,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66584,EKP,,,R,,R,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
574.79,EKP,,,S,R,S,R,R,,,R,R,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.7221,EKP,,S,S,R,S,,R,R,R,R,R,S,S,,,,,R,R,,,,R,,,,,,,,,,,,,
72407.2232,EKP,,S,S,R,S,,,,R,R,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.166,EKP,R,,R,,,R,R,,,R,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
72407.2609,EKP,,,,S,,S,,,,R,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.18088,EKP,,,R,,S,R,,R,R,R,,R,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.24333,EKP,,R,,,S,R,R,R,R,,,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.46357,EKP,R,,,,,R,,,,R,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
574.85,EKP,S,S,,R,,,,,,,,S,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.2263,EKP,,,,S,,,R,,,,S,S,S,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,,,
573.4072,EKP,S,,S,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.65982,EKP,S,S,,R,S,R,,,R,R,,S,S,R,S,,,R,R,,,R,R,S,R,S,,,,,,,,,,
573.46352,EKP,,,,,R,,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.66029,EKP,S,S,S,,S,,R,,R,,S,S,S,R,S,,,S,R,,,R,R,S,S,R,,,,,,,,,,
573.66484,EKP,,S,S,R,R,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66422,EKP,,,,,,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2354,EKP,,,R,,S,,,,R,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.29995,EKP,R,,S,,S,,,R,,S,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
573.46366,EKP,,R,,,,,,,,R,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
573.7074,EKP,S,,S,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
1400166.3,EKP,,,S,S,S,,R,,,S,S,S,,,,,,S,,,,,S,,S,,,,,S,,,,,,
573.4128,EKP,S,,S,,,,,,,,,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
573.66218,EKP,,S,,R,,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
574.8,EKP,S,S,R,,,R,,,R,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66289,EKP,,,R,R,R,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.251,EKP,S,,R,,S,,R,R,,S,S,,S,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,R,,
