Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
72407.2665,EKP,S,S,R,,S,,,,,R,R,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66438,EKP,,R,S,,,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.204,EKP,R,,R,,S,R,R,,,R,R,,R,R,,,,R,R,,,,,S,,,,,,,,,,R,,
573.46369,EKP,,,,S,R,,,,,,,,,R,,,,R,S,,,,R,,,S,,,,,,,,,,
573.66475,EKP,,,,,R,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
1284804.4,EKP,R,R,S,R,S,R,R,R,R,R,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
573.46347,EKP,R,,,R,,R,,,,R,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.46387,EKP,,,,R,,R,,,,,,,,R,,,,R,R,,,,R,,,R,,,,,,,,,,
573.65941,EKP,S,,,,S,R,,,R,R,S,,S,R,R,,,R,S,,,R,R,R,R,R,,,,,,,,,,
573.46841,EKP,,,,R,,,R,,,,R,,S,,,,R,R,S,,R,,R,,,,,R,,,,,,,,
1400165.3,EKP,,,S,S,S,,R,,,S,S,S,,,,,,S,,,,,S,,S,,,,,S,,,,,,
72407.2265,EKP,S,S,,,,S,R,,R,R,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.4102,EKP,S,,,,,,,,,,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.24348,EKP,,S,S,R,,,R,,R,,R,S,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2487,EKP,S,S,,R,,,,,,,S,,S,R,S,,,S,R,,,R,R,S,R,S,,,,,,,,,,
573.24374,EKP,R,R,S,,,,R,,,R,R,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.67371,EKP,R,,,R,,,,,,,R,,,,,,,,,,S,,,,,,S,R,,,,,,,,
72407.2708,EKP,,,,,,S,,,R,R,S,S,S,R,R,,,S,R,,,R,R,S,R,R,,,,,,,,,,
1328410.3,EKP,,R,R,,,,R,,,R,,R,,,,,,R,,,,,,,R,,,,,R,,,,,,
72407.2618,EKP,S,S,,,S,,R,,S,,R,S,S,S,R,,,S,R,,,R,S,S,R,R,,,,,,,,,,
573.4053,EKP,S,,S,,,,,,,R,S,,,,R,,S,S,R,,,,,,,,,,,,,,,,,
72407.2353,EKP,,,,,,,R,,R,S,,,S,R,S,,,R,S,,,R,R,S,R,R,,,,,,,,,,
573.46356,EKP,,,,,R,R,,,,R,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
573.67359,EKP,S,,R,,,,,,,,R,,,,,,,,,,S,,,,,,S,R,,,,,,,,
573.31622,EKP,R,,R,,,,,,,R,R,,R,R,,R,R,R,R,,,,,,,,,,,,,,,,,
72407.2559,EKP,S,,R,,,,R,,,,,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66215,EKP,,S,,R,R,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.29932,EKP,,,R,,R,,,,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
573.66418,EKP,,S,,R,R,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
574.27,EKP,,,,,S,,,,R,R,,,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
573.65954,EKP,S,S,R,R,,,,,,R,,,S,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,,,
