Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
573.46365,EKP,R,,,R,R,,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
573.46872,EKP,,,,R,R,,,R,S,,R,,S,,,,R,R,R,,R,,R,,,,,R,,,,,S,,,
573.31604,EKP,R,R,,,R,,,R,,,,,R,R,,R,R,R,R,,,,,,,,,,,,,,,,,
72407.2755,EKP,S,S,R,,,S,R,,R,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.15217,EKP,R,R,,R,,R,R,R,,R,,,,R,,R,R,R,,,,,R,R,,,,,,R,,,,,,
573.67361,EKP,,,R,R,S,R,,,,,,,,,,,,,,,S,,,,,,S,R,,,,,,,,
573.24444,EKP,R,,R,,,,,R,R,,,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2367,EKP,S,,R,,S,R,,,,R,R,,S,R,R,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2226,EKP,,,S,,,,R,,R,,,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66048,EKP,S,S,S,S,,S,,,S,S,R,S,S,R,S,,,S,R,,,R,R,S,R,S,,,,,,,,,,
573.66402,EKP,,,S,,R,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2486,EKP,S,,,,S,R,,,,R,S,,R,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1328424.3,EKP,,,S,,R,,,,,R,R,R,R,,,,,R,R,,,,,,R,,,,,R,,,,,,
573.66275,EKP,,,,R,,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2459,EKP,S,S,,R,S,,,,,S,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
72407.2294,EKP,S,,R,R,S,,R,,,S,S,R,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.4108,EKP,S,,S,,,,,,,R,S,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
573.24365,EKP,S,,R,R,S,,,,R,R,R,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.4139,EKP,S,,,,,,,,,S,,,,S,R,,S,S,R,,,,,,,,,,,,,,,,,
72407.2442,EKP,S,,S,R,,,R,,,R,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2248,EKP,S,,S,S,S,S,R,,,,S,S,S,S,S,,,S,S,,,S,S,S,S,R,,,,,,,,,,
573.24381,EKP,S,S,S,S,,,S,,,,,,S,R,,R,S,R,R,,,,R,S,,,,,,R,,,,,,
72407.2719,EKP,S,S,S,,,S,R,,,,S,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1328415.3,EKP,,R,,R,S,,R,,,R,R,R,,,,,,R,,,,,R,,R,,,,,R,,,,,,
573.65933,EKP,S,S,,R,S,S,,,R,,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2613,EKP,S,,R,R,S,R,R,,R,R,R,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.66263,EKP,,,,,,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66512,EKP,,,,,,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2292,EKP,S,,,R,,R,R,,R,R,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.257,EKP,R,,S,,,R,R,R,S,R,,R,S,R,R,,,S,S,,,R,S,S,R,R,,,,,,,,R,,
573.66302,EKP,,S,S,R,R,,,,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.46843,EKP,,R,,,R,R,R,R,,,,,S,,,,R,R,S,,R,,R,,,,,R,,,,,,,,
573.66006,EKP,S,,S,,,R,,,,,R,S,R,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
