Sample_ID_IfH,Organism_Code,meropenem,ertapenem,tobramycin,tigecycline,piperacillin-tazobactam,cefotaxime,cefpodoxime,amoxicillin-clavulanic acid,ampicillin,gentamicin,amikacin,ceftriaxone,cefepime,trimethoprim,trimethoprim-sulfamethoxazole,norfloxacin,ciprofloxacin,nitrofurantoin,ceftazidime,sulfamethoxazole,aztreonam,ceftolozane-tazobactam,cefuroxime,Imipenem,ampicillin-sulbactam,ceftazidime-avibactam,cefazolin,levofloxacin,moxifloxacin,ticarcillin-clavulanic acid,piperacillin,colistin,fosfomycin
573.14328,EKP,S,,S,,R,,,,R,S,S,S,S,,R,,S,,S,,S,,R,S,R,,S,S,,,,,
72407.548,EKP,S,S,R,R,R,R,,R,R,R,S,,R,,R,,R,,R,,R,,R,,,,,,,,,,
573.42938,EKP,R,R,R,R,R,R,R,,R,R,S,R,R,,R,,R,,R,,R,R,R,R,R,R,R,R,R,,,,
573.14373,EKP,S,,R,,R,,,,R,R,R,R,R,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
72407.496,EKP,S,S,S,S,S,R,,R,R,S,S,,R,,R,,R,,R,,R,,R,,,,,,,,,,
573.13134,EKP,S,,R,,S,,,,R,R,S,R,S,,R,,R,,S,,S,,R,S,R,,R,S,,,,,
573.14184,EKP,S,,R,,R,,,,R,R,R,R,R,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.13955,EKP,S,,R,,R,,,,R,R,R,R,,,S,,R,,R,,R,,R,R,R,,R,R,,,,,
573.14317,EKP,S,,R,,R,,,,R,S,R,R,R,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
72407.525,EKP,S,S,R,R,R,R,,R,R,R,S,,R,,R,,R,,R,,R,,R,,,,,,,,,,
573.14056,EKP,S,,S,,R,,,,R,R,S,R,S,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.13231,EKP,S,,S,,R,,,,R,S,S,R,S,,S,,R,,R,,R,,R,S,R,,R,R,,,,,
72407.478,EKP,S,S,R,R,R,R,,R,R,R,S,,R,,R,,R,,R,,R,,R,,,,,,,,,,
573.5809,EKP,S,S,S,S,S,R,,S,R,S,S,,R,S,,,S,,R,,R,,R,,,,,,,,,,
573.5821,EKP,S,S,S,R,R,R,,R,R,S,S,,S,R,,,R,,R,,R,,R,,,,,,,,,,
573.13733,EKP,S,,S,,S,,,,R,S,S,R,R,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.1348,EKP,S,,S,,R,,,,R,S,S,R,S,,S,,S,,R,,S,,R,S,R,,R,S,,,,,
573.41937,EKP,R,R,S,R,S,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,S,R,S,R,R,,,,
573.40379,EKP,R,R,R,R,R,R,R,,R,R,S,R,R,,R,,R,,R,,R,R,R,R,R,S,R,R,R,,,,
573.14052,EKP,S,,R,,R,,,,R,R,R,R,R,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.13292,EKP,S,,S,,R,,,,R,S,S,R,S,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.13197,EKP,S,,R,,R,,,,R,S,S,R,S,,R,,R,,R,,S,,R,S,R,,R,R,,,,,
573.13121,EKP,S,,S,,R,,,,R,R,S,R,S,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.41099,EKP,R,R,R,R,R,R,R,,R,R,S,R,R,,R,,R,,R,,R,R,R,R,R,R,R,R,R,,,,
573.13021,EKP,S,,S,,S,,,,R,S,S,R,S,,S,,R,,R,,R,,,S,S,,R,S,,,,,
1400170.3,EKP,R,S,,R,,S,,,R,S,S,,,,R,,R,,S,,,,,,S,,S,R,,,,,
573.4036,EKP,R,R,S,R,S,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,S,R,S,R,R,,,,
573.14352,EKP,S,,R,,R,,,,R,S,R,R,S,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.12862,EKP,S,,R,,S,,,,R,S,R,R,S,,R,,R,,R,,R,,,S,R,,R,R,,,,,
573.13433,EKP,S,,R,,R,,,,R,R,R,R,R,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.13124,EKP,S,,R,,R,,,,R,R,S,R,R,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.13661,EKP,S,,R,,R,,,,R,R,S,R,S,,R,,R,,R,,S,,R,S,R,,R,R,,,,,
573.14322,EKP,S,,R,,R,,,,R,R,S,R,R,,S,,R,,R,,R,,R,S,R,,R,R,,,,,
1328378.3,EKP,S,S,,,,S,,,R,S,S,,,,R,,S,,,,,,,S,,,S,S,,,,,
573.41092,EKP,R,R,S,R,S,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,S,R,S,R,R,,,,
573.12964,EKP,S,,R,,R,,,,R,R,S,R,S,,S,,R,,R,,R,,,S,R,,R,R,,,,,
573.41989,EKP,R,R,S,R,R,R,R,,R,S,S,R,R,,R,,R,,S,,S,S,R,R,R,R,R,S,R,,,,
573.13959,EKP,S,,S,,R,,,,R,R,S,R,S,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.40423,EKP,R,R,S,R,S,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,S,R,S,R,R,,,,
573.42005,EKP,R,R,S,R,R,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,R,R,S,R,R,,,,
573.13924,EKP,S,,S,,S,,,,R,S,S,R,R,,R,,S,,S,,R,,R,S,R,,R,S,,,,,
573.14029,EKP,S,,R,,R,,,,R,S,S,R,S,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
