Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
72407.248,EKP,S,S,S,,,R,R,,,,R,S,S,R,R,,,R,R,,,R,R,S,R,S,,,,,,,,R,,
72407.2604,EKP,,S,,R,,R,R,,,R,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24383,EKP,,,R,,S,,R,S,R,R,,,S,R,,R,R,R,R,,,,R,S,,,,,,R,,,,,,
72407.2393,EKP,,,,R,,R,R,,R,,S,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2377,EKP,,S,S,,S,,,,,R,R,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24265,EKP,R,,,,,,R,R,,R,,R,S,R,,R,R,R,R,,,,R,R,R,,,,,R,,,,,,
72407.253,EKP,R,S,S,R,S,S,R,,,R,R,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,R,,
573.5623,EKP,,,,,,,R,,,,R,R,R,R,,R,,R,R,,,,,,R,,,,R,R,,,,,,
573.29872,EKP,R,R,S,,R,,R,,,R,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
72407.2778,EKP,,S,,,S,S,,,,R,,S,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.4086,EKP,S,,S,,,,,,,R,R,,,R,R,,S,R,R,,,,,,,,,,,,,,,,,
72407.2225,EKP,S,,S,R,,,,,,,S,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.46372,EKP,,,,R,R,,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
1328418.3,EKP,,,S,S,S,,R,,,S,,S,,,,,,S,,,,,S,,S,,,,,S,,,,,,
573.4215,EKP,,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.66565,EKP,,,,,,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.271,EKP,R,S,R,R,S,,R,R,R,R,,R,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,R,,
72407.2608,EKP,,,,R,,,R,,R,R,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2751,EKP,,S,,R,S,,R,,,,S,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.24363,EKP,,S,,R,,,R,,R,,,,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
72407.2479,EKP,,,R,R,,,R,,,R,R,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.66292,EKP,,S,R,R,R,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.221,EKP,,R,R,,S,R,R,R,,R,R,,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
573.24395,EKP,,,S,,S,,S,,R,R,,S,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.66307,EKP,,R,R,,R,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66257,EKP,,R,R,,,,,R,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66221,EKP,,,S,R,R,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66537,EKP,,,R,R,R,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66539,EKP,,,R,R,R,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
1284816.3,EKP,R,R,S,R,S,R,R,R,R,R,R,R,R,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.66544,EKP,,S,R,,R,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.46865,EKP,,,,R,,,,,R,,,,S,,,,R,R,S,,R,,R,,,,,R,,,,,,,,
1328397.3,EKP,S,S,S,,S,S,R,S,,S,,,,S,,R,,S,R,,,,,,S,,,,,S,,,,,,
573.65995,EKP,,S,,S,S,S,R,,S,,R,R,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2596,EKP,,,S,,S,S,R,,,R,S,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2202,EKP,,S,S,R,S,S,R,,R,R,,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1284811.3,EKP,R,R,R,R,S,R,R,R,R,R,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
1284821.3,EKP,R,R,S,R,S,R,S,R,R,R,R,R,S,R,,,,R,R,,,,,S,,,,,,,,,,R,,
574.12,EKP,,,,,S,,,,S,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
1400168.3,EKP,,,S,S,S,,R,,,S,S,S,,,,,,S,,,,,S,,S,,,,,S,,,,,,
573.66513,EKP,,,S,,R,,,R,,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.5764,EKP,R,R,S,R,R,,R,,R,R,R,R,R,R,,R,,R,,,,,,,R,,,,R,R,,,,,,
573.66535,EKP,,,S,R,,,,R,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
72407.2404,EKP,S,S,R,,,,R,,,,R,R,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2748,EKP,S,,,R,S,S,R,,R,,,,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24392,EKP,R,,,R,,,R,R,,,,S,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.31608,EKP,R,,,R,,,,,,,R,,R,R,,R,R,R,R,,,,,,,,,,,,,,,,,
72407.2236,EKP,,,,R,,,R,,,,S,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2284,EKP,S,S,,,,,R,,R,,,S,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66476,EKP,,,,,S,,,S,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.31621,EKP,,R,R,R,,,,,,R,,,R,R,,R,R,R,R,,,,,,,,,,,,,,,,,
573.66516,EKP,,S,R,R,S,,,S,R,R,,,,R,R,R,S,R,,,,,,,,,,,,,,,,,,
72407.2661,EKP,S,,,R,S,,,,R,R,S,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2188,EKP,S,S,,R,,S,R,,,,S,,S,R,S,,,R,R,,,R,R,S,R,S,,,,,,,,,,
573.46866,EKP,,,R,,R,,,R,,R,R,,S,,,,R,R,S,,R,,R,,,,,R,,,,,S,,,
573.66001,EKP,,,S,,,S,,,R,R,R,R,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
1400163.3,EKP,,S,R,R,S,,R,,,R,R,R,,,,,,R,R,,,,R,,R,,,,,R,,,,,,
574.91,EKP,,,,S,,,R,,R,,,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
72407.2736,EKP,,S,,R,S,S,,,,,,,S,R,S,,,R,R,,,R,R,S,R,S,,,,,,,,,,
573.24409,EKP,R,,,,S,R,,,R,R,R,,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.4048,EKP,S,,S,,,,,,,R,R,,,,R,,S,R,,,,,,,,,,,,,,,,,,
